,acc,auc,loss,val_acc,val_auc,val_loss,learning_rate
0,0.5999902486801147,0.9315319657325745,1.1395163536071777,0.27844029664993286,0.7527065277099609,2.864651679992676,0.009999999776482582
1,0.8111445307731628,0.9780120253562927,0.622097373008728,0.7497598528862,0.967341959476471,0.7741428017616272,0.009999999776482582
2,0.8416327238082886,0.9830864071846008,0.5330758690834045,0.7271900773048401,0.9490743279457092,0.9540922045707703,0.009999999776482582
3,0.8581129908561707,0.9867181777954102,0.46784648299217224,0.835949718952179,0.9872195720672607,0.4874610900878906,0.009999999776482582
4,0.8662751913070679,0.988235592842102,0.43544405698776245,0.8623703122138977,0.9882466793060303,0.44992607831954956,0.009999999776482582
5,0.8723629117012024,0.9892014265060425,0.4141984283924103,0.7139099836349487,0.9669909477233887,0.7915517687797546,0.009999999776482582
6,0.8757302761077881,0.9898823499679565,0.3994728624820709,0.9224596619606018,0.9962683916091919,0.2917788028717041,0.009999999776482582
7,0.8799821138381958,0.9903546571731567,0.386637419462204,0.9396798610687256,0.996397852897644,0.25242358446121216,0.009999999776482582
8,0.8831300735473633,0.9908230304718018,0.37461453676223755,0.8738499283790588,0.9858472943305969,0.4462149441242218,0.009999999776482582
9,0.8844875693321228,0.991080105304718,0.3681989312171936,0.8773294687271118,0.9906352162361145,0.40375271439552307,0.009999999776482582
10,0.891969621181488,0.9925529956817627,0.337024986743927,0.9890496134757996,0.9997444748878479,0.0930863693356514,0.004999999888241291
11,0.8930951356887817,0.9927590489387512,0.3310518264770508,0.9709500074386597,0.9975939393043518,0.15335892140865326,0.004999999888241291
12,0.8946426510810852,0.992907702922821,0.32572421431541443,0.9945195317268372,0.9997429251670837,0.06933584809303284,0.004999999888241291
13,0.8957496881484985,0.9930766820907593,0.321537584066391,0.9455391764640808,0.9927169680595398,0.25792834162712097,0.004999999888241291
14,0.8973127007484436,0.9932329654693604,0.3167119324207306,0.9881690144538879,0.9995524287223816,0.09965313225984573,0.004999999888241291
15,0.8994379043579102,0.9934646487236023,0.31047263741493225,0.9939191341400146,0.9997183084487915,0.06910410523414612,0.004999999888241291
16,0.9016873836517334,0.9936187863349915,0.3045995831489563,0.9914196133613586,0.9995516538619995,0.08204140514135361,0.004999999888241291
17,0.9019657969474792,0.9937486052513123,0.30138662457466125,0.9682809710502625,0.9983969926834106,0.13427239656448364,0.004999999888241291
18,0.9022032022476196,0.99375319480896,0.30029454827308655,0.9935692548751831,0.9996355175971985,0.06015670672059059,0.004999999888241291
19,0.9033655524253845,0.9939011931419373,0.2973612844944,0.9934490919113159,0.9996015429496765,0.057887762784957886,0.004999999888241291
20,0.9060330986976624,0.9942053556442261,0.2890058755874634,0.9979497790336609,0.9999201893806458,0.047807879745960236,0.0024999999441206455
21,0.9083427786827087,0.9942439198493958,0.2845832407474518,0.9975500702857971,0.9998646378517151,0.04651252552866936,0.0024999999441206455
